,EPS,Earnings_Yield,Effect_of_forex_changes_on_cash,Weighted_Average_Shs_Out,Gross_Profit_Growth,Net_cash_flow_/_Change_in_cash,Net_Income_per_Share,Book_Value_per_Share_Growth,Weighted_Average_Shares_Growth,Revenue_Growth,Financing_Cash_Flow,Operating_Cash_Flow_growth,Operating_Cash_Flow_per_Share,Asset_Growth,Operating_Income_Growth,Retained_earnings_(deficit),SG&A_Expenses_Growth,EPS_Growth,Receivables_growth,Issuance_(buybacks)_of_shares
13492,0.84,0.0179,6700000.0,78477440.0,0.1707,72880000.0,0.8419,0.1086,0.0338,0.1977,837972000.0,-0.016,1.4896,0.7762,-0.6115,285186000.0,0.3697,-0.16,0.6992,9774000.0
1671,4.71,0.0524,-7000.0,53879600.0,0.0751,-3149000.0,4.7149,0.0677,0.0282,0.0449,15239000.0,0.1885,8.8864,0.0519,0.1088,1319639000.0,0.0423,-0.058,0.0625,7633000.0
13595,0.08,0.0042,504000.0,45975744.0,-0.1314,-4895000.0,0.0791,-0.0025,0.0161,-0.0587,-7718000.0,0.0168,0.8504,0.0546,-1.0825,72642000.0,0.0765,-0.6364,0.3443,-30747000.0
9117,2.39,0.0791,0.0,372285760.0,0.1602,-80600000.0,2.3889,0.1393,0.0115,0.1232,-591900000.0,-0.1092,1.6817,0.0366,0.2082,4057200000.0,0.1132,0.1659,0.0,72400000.0
362,4.27,0.0464,-4141000.0,13269266.0,0.0465,-3761000.0,4.2574,0.0579,0.0062,0.05,30161000.0,-0.259,4.1216,0.1393,0.0858,299524000.0,0.0317,-0.0023,0.144,804000.0
8180,-0.47,-0.0083,-8000000.0,62100840.0,-0.0011,-69000000.0,-0.467,0.2001,-0.0624,-0.1173,-407000000.0,1.036,10.9177,-0.0054,-1.5979,2704000000.0,0.2399,-1.1035,-0.3646,-500000000.0
1462,1.96,0.0278,0.0,170370200.0,0.2174,301400000.0,1.9645,0.7664,-0.0298,0.2049,-202600000.0,0.0749,3.7782,0.3632,1.1038,-57500000.0,0.1095,2.7971,0.2766,-125300000.0
14501,5.9,0.0419,6700000.0,89560780.0,0.2442,419284000.0,7.7254,0.2113,-0.0159,0.2282,251938000.0,-0.0398,7.4626,0.1757,0.4074,2958921000.0,0.3453,0.6605,0.1814,-357703000.0
4100,0.16,0.0195,0.0,8444515.0,0.0253,-2861000.0,0.1567,0.0009,0.0,0.0253,8571000.0,-0.4518,0.1361,0.0321,-0.0969,34050000.0,0.0496,0.4545,0.0,0.0
6664,2.0,0.0638,0.0,81003090.0,0.0754,3300000.0,1.9998,0.0782,0.0113,0.0754,837972000.0,0.1774,2.1933,0.1508,-0.0092,1059660000.0,0.0264,0.1561,0.0,-50223000.0
