,Class
13492,0.0
1671,0.0
13595,1.0
9117,1.0
362,0.0
8180,1.0
1462,1.0
14501,0.0
4100,1.0
6664,1.0
9250,0.0
16122,0.0
3025,1.0
13997,0.0
4851,1.0
8588,1.0
6078,1.0
1158,1.0
12639,1.0
14714,0.0
4885,0.0
8119,1.0
461,1.0
8090,1.0
9200,0.0
4388,0.0
10058,0.0
7102,1.0
16707,1.0
10569,1.0
3200,1.0
5095,0.0
14024,0.0
1118,1.0
488,1.0
16133,0.0
2252,1.0
3701,1.0
14869,0.0
9513,0.0
2225,0.0
901,0.0
2280,0.0
3989,1.0
14018,0.0
3904,0.0
3848,0.0
11510,0.0
7303,1.0
7519,1.0
6021,1.0
14508,1.0
13105,0.0
3719,1.0
14624,0.0
7108,0.0
1648,1.0
13903,1.0
2583,0.0
1392,1.0
4352,0.0
129,1.0
2933,1.0
13820,0.0
1397,1.0
8696,1.0
2670,1.0
17418,0.0
13534,1.0
11817,1.0
5827,0.0
4933,0.0
2504,0.0
1424,1.0
13556,0.0
9811,0.0
8199,1.0
6922,0.0
6187,1.0
10615,0.0
14288,0.0
2627,1.0
14032,0.0
2477,1.0
17398,0.0
12708,0.0
11466,1.0
2539,1.0
489,0.0
4978,1.0
5417,1.0
7342,1.0
7030,1.0
17141,0.0
3188,1.0
15399,0.0
13299,0.0
2185,1.0
1140,1.0
7629,0.0
4074,1.0
14713,0.0
14507,0.0
8939,1.0
4129,1.0
12990,0.0
2046,1.0
10680,1.0
2622,0.0
6713,1.0
3129,1.0
11323,0.0
16273,0.0
7204,0.0
16679,0.0
1275,0.0
7923,1.0
14359,0.0
13691,0.0
11917,0.0
14637,0.0
13555,0.0
17382,0.0
16470,0.0
7773,1.0
13901,0.0
453,1.0
2784,1.0
11245,1.0
16100,0.0
2673,0.0
211,1.0
274,1.0
4768,0.0
15960,1.0
16539,0.0
5478,1.0
11712,1.0
988,1.0
8865,0.0
15114,0.0
17430,0.0
17514,1.0
2737,1.0
4305,0.0
14241,0.0
4231,1.0
3024,1.0
9322,1.0
2610,1.0
16434,1.0
8321,0.0
6483,1.0
5924,1.0
1580,0.0
2969,1.0
1097,1.0
8107,0.0
486,1.0
7946,0.0
968,0.0
8147,1.0
17021,0.0
11793,1.0
7899,0.0
1948,0.0
11246,1.0
2226,1.0
13628,0.0
6096,1.0
8576,1.0
15213,0.0
6016,1.0
16265,0.0
10279,0.0
4546,0.0
11404,0.0
3205,1.0
2550,1.0
7746,1.0
3887,1.0
14156,0.0
6071,1.0
9568,0.0
9340,1.0
11733,1.0
11398,1.0
12899,1.0
2178,1.0
13467,1.0
10930,1.0
2957,0.0
602,1.0
8628,1.0
2168,0.0
10472,1.0
1993,1.0
3051,0.0
7528,0.0
4267,0.0
554,1.0
2625,0.0
6683,1.0
2243,1.0
742,0.0
412,0.0
16913,0.0
15108,0.0
12957,0.0
16112,0.0
10622,1.0
1149,1.0
16192,0.0
17081,0.0
2761,0.0
2520,0.0
1045,1.0
5415,1.0
4194,1.0
1234,1.0
10134,1.0
3106,0.0
4497,0.0
4308,0.0
4956,0.0
17130,0.0
1235,1.0
17268,0.0
9968,1.0
8649,1.0
4169,1.0
4905,1.0
13,1.0
13077,0.0
2079,0.0
11059,0.0
3883,1.0
16575,0.0
11046,0.0
14494,1.0
9174,1.0
10598,1.0
2523,0.0
12605,0.0
10809,1.0
311,1.0
17337,1.0
6780,1.0
9369,1.0
10681,1.0
14638,1.0
5815,1.0
159,1.0
15262,1.0
5334,0.0
9541,1.0
2155,1.0
10431,1.0
3413,0.0
3818,1.0
3558,1.0
2299,0.0
3169,1.0
966,1.0
10652,0.0
3107,1.0
16906,0.0
10214,1.0
897,0.0
14196,0.0
725,1.0
1533,1.0
708,1.0
5504,1.0
14107,1.0
10828,1.0
6731,1.0
12908,0.0
15177,0.0
206,1.0
1015,1.0
11935,1.0
1750,1.0
3340,1.0
1792,1.0
3136,1.0
2678,1.0
3539,1.0
552,1.0
11049,0.0
14854,0.0
6931,1.0
1006,0.0
4123,0.0
683,0.0
11430,1.0
2772,1.0
13759,0.0
15842,0.0
6649,1.0
12401,0.0
16249,0.0
3769,1.0
3446,1.0
4357,1.0
10995,1.0
2165,1.0
14226,1.0
7404,0.0
9581,0.0
14676,0.0
9506,0.0
10177,0.0
17079,1.0
12541,0.0
2102,0.0
1135,1.0
4198,1.0
9877,1.0
7334,1.0
1317,0.0
4046,0.0
17532,0.0
1237,1.0
8540,1.0
2731,0.0
2362,1.0
1665,0.0
2922,0.0
1477,1.0
1004,1.0
4350,1.0
9368,1.0
4732,1.0
6668,1.0
51,1.0
2173,0.0
924,1.0
5944,1.0
1687,1.0
17671,0.0
17584,0.0
4399,1.0
14769,0.0
725,0.0
1266,1.0
9563,0.0
2806,1.0
13885,1.0
8058,0.0
4379,1.0
17537,0.0
1027,1.0
13127,0.0
14914,0.0
3851,1.0
14154,0.0
6724,1.0
2163,1.0
16195,0.0
17668,1.0
13436,1.0
124,0.0
1248,0.0
821,1.0
581,1.0
2117,0.0
14135,1.0
16664,0.0
13642,0.0
13991,0.0
1541,0.0
1217,1.0
2949,0.0
11389,1.0
16146,1.0
13465,0.0
4449,0.0
10664,0.0
105,1.0
9131,1.0
781,0.0
1960,0.0
15810,0.0
3032,1.0
13701,1.0
6825,1.0
17471,0.0
7432,0.0
2542,1.0
9045,0.0
2570,1.0
798,1.0
290,0.0
931,0.0
11529,1.0
17267,0.0
4820,0.0
6180,1.0
59,0.0
9018,1.0
16402,0.0
16883,0.0
8250,0.0
3384,1.0
11506,1.0
17632,0.0
17556,0.0
15699,0.0
10201,0.0
1465,0.0
9569,0.0
4089,0.0
482,0.0
10524,0.0
15494,0.0
6776,1.0
9940,0.0
2655,1.0
1467,0.0
9772,1.0
17121,0.0
10784,1.0
3606,0.0
6798,1.0
4672,1.0
1838,0.0
17507,0.0
866,0.0
10020,1.0
2699,1.0
50,1.0
16196,0.0
10993,1.0
1866,1.0
10436,1.0
2787,1.0
13634,0.0
13655,1.0
448,1.0
10903,1.0
11638,1.0
14147,0.0
4681,0.0
12798,1.0
9883,1.0
4275,1.0
4322,1.0
13806,0.0
16686,1.0
3699,0.0
7908,0.0
3452,1.0
12288,1.0
2896,1.0
1558,1.0
11777,1.0
115,1.0
8123,1.0
10130,0.0
2664,1.0
10035,0.0
5130,1.0
11890,0.0
17196,1.0
270,0.0
14119,1.0
1706,1.0
17182,1.0
11052,1.0
8456,1.0
2158,0.0
10497,0.0
1936,0.0
4272,1.0
14543,0.0
10244,1.0
15632,0.0
16941,1.0
2815,1.0
1698,0.0
2964,1.0
13417,1.0
14695,1.0
1067,0.0
5457,1.0
7377,1.0
2440,0.0
