"","year","x1","revenue","revenue_growth","gross_profit","eps","eps_growth","dividend_per_share","dividends_per_share_growth","operating_cash_flow","free_cash_flow_growth","pricefairvalue","enterprise_value","debt_to_assets","debt_growth","asset_growth","2015_price_var_[%]"
"1",2014,"PG",7.4401e+10,-0.0713,3.5371e+10,4.19,0.0371,2.448,0.0699,1.3958e+10,-0.0695,2.5886011980071,237392418090.84,0.2455,0.1228,0.0359,-9.32327599744554
"2",2014,"VIPS",3734148046.4966,1.1737,928522602.5186,0.2396,1.4625,0,0,526745560.2196,-0.3626,0.86686892503279,NA,0.2274,NA,NA,-25.5121928889577
"3",2014,"KR",9.8375e+10,0.0182,2.0237e+10,1.47,0.0576,0.307,0.2429,3.573e+09,0.3935,0,29183698937.28,0.3863,0.2738,0.1886,33.118296715505
"4",2014,"RAD",25526413000,0.0053,7323734000,4.6,0.9167,0,0,702046000,-0.2691,NA,11970475316.4,0.829,-0.0458,-0.0189,2.75229146805744
"5",2014,"GIS",17909600000,0.0076,6369800000,2.9,0.014,1.55,0.1742,2.541e+09,-0.1936,4.2587258776391,41248557253.44,0.3796,0.1025,0.0215,12.8977151659106
"6",2014,"PM",8.0106e+10,0.001,1.9331e+10,4.76,-0.0951,3.88,0.0838,7.739e+09,-0.2629,NA,154323098153,0.8371,0.0642,-0.0781,13.9809367779375
"7",2014,"KO",4.5998e+10,-0.0183,2.8109e+10,1.62,-0.1649,1.22,0.0893,1.0615e+10,0.0406,5.307908275066,204998364569.22,0.4536,0.1258,0.0219,5.33941283783539
"8",2014,"WMT",4.76294e+11,0.0163,1.18225e+11,4.9,-0.0278,1.88,0.1824,2.3257e+10,-0.1781,0,291007485072.4,0.2766,0.0463,0.0081,-26.6537017851799
"9",2014,"MDLZ",3.4244e+10,-0.0299,1.2597e+10,1.29,-0.4163,0.58,0.0741,3.562e+09,-0.6092,2.0288628871849,76056608766.1,0.2494,-0.0248,-0.0792,23.809817736521
"10",2014,"MO",2.4522e+10,0.0023,1.016e+10,2.56,0.1327,2,0.087,4.663e+09,0.0603,27.009112602725,108752679954.74,0.4262,0.0121,-0.011,23.8654893023316
"11",2014,"ABEV",14299586932.0315,-0.0376,9487495306.0458,0.2891,-0.09,0.1209,1.2143,7052459631.994,-0.0704,2.0319112594481,NA,0.0377,-0.1695,-0.0742,-22.605312498628
"12",2014,"TAL",313895205,0.3893,162352089,0.13,0.8571,0.35,3.2683,101558366,0.5297,0,NA,0,0,0.353,65.3736654622368
"13",2014,"BRFS",10892527224.9343,-0.0745,3195418700.7135,0.9598,0.8483,0.1363,0.0279,1878257.6042,-0.9983,1.2619087931921,NA,0.3407,0.0349,-0.0113,-38.548748978537
"14",2014,"KHC",1.0922e+10,NA,3.277e+09,-0.17,NA,0,NA,2.14e+09,NA,NA,99979316765.44,0.3653,NA,NA,2.06596324846454
"15",2014,"NWL",5.727e+09,0.0214,2203400000,1.37,-0.1646,0.66,0.1,634100000,0.0111,5.0184910716215,12608699000,0.3781,0.3515,0.0815,18.6038452401984
"16",2014,"KMB",1.9724e+10,0.0083,6.683e+09,4.07,-0.2706,8.132,1.5099,2.845e+09,-0.185,51.048737762607,49200471612.74,0.448,0.2074,-0.1793,13.7458289187631
"17",2014,"CPB",8.268e+09,0.0268,2.971e+09,2.76,0.8904,1.248,-0.1393,8.99e+08,-0.1657,7.1745986377709,17039605154.23,0.4949,-0.0984,-0.0252,22.6287627196167
"18",2014,"TGT",7.1279e+10,-0.0276,2.124e+10,3.1,-0.3217,1.58,0.197,6.52e+09,0.5448,0,46925979401.59,0.2822,-0.2876,-0.075,-0.840647561156258
"19",2014,"HRL",9316256000,0.0645,1564983000,1.14,0.1457,0.4,-0.0588,746879000,0.105,3.5228851585749,13755197363.31,0.0458,0,0.1098,58.6667830583271
"20",2014,"CAG",11838200000,-0.1211,2927400000,0.72,-0.617,1,0.3514,1568600000,0.1388,1.7855079957658,19148736363.0864,0.4631,-0.0671,-0.0532,21.6250155059632
"21",2014,"PEP",6.6683e+10,0.004,3.5445e+10,4.31,-0.0137,2.533,0.1308,1.0506e+10,0.1085,7.2671939412902,164937700314.6,0.4098,-0.025,-0.0899,8.88670137383828
"22",2014,"COST",1.1264e+11,0.0712,1.4182e+10,4.69,0.0021,1.33,-0.8372,3.984e+09,0.4705,3.8280287709827,51057224805.76,0.1542,0.019,0.0905,19.0625243307984
"23",2014,"COTY",4551600000,-0.021,2685900000,-0.26,-1.5909,0.2,0,536500000,0.2407,7.0055837402228,8555084972.51,0.4996,0.2522,0.0189,26.6812414714664
"24",2014,"MNST",2464867000,0.0972,1339810000,0.96,0.418,0,0,597491000,0.8959,11.960705209781,17012128395.792,0,0,0.3649,37.7218893120584
"25",2014,"SJM",5610600000,-0.0487,2.031e+09,5.42,0.084,2.26,0.1078,8.56e+08,-0.1002,0,12087446235.8,0.2446,0.0984,0.0031,25.632152051357
"26",2014,"CL",1.7277e+10,-0.0082,1.0109e+10,2.38,-0.0124,1.42,0.0677,3.298e+09,0.0028,49.653696747597,68118649622.42,0.4568,0.0868,-0.0376,-1.34860261291717
"27",2014,"ADM",8.1201e+10,-0.0958,4.768e+09,3.44,0.6946,0.96,0.2632,4.943e+09,-0.0612,1.5256781151299,32645952912,0.1286,-0.1761,0.0056,-27.7280823000066
"28",2014,"DG",17504167000,0.0925,5435742000,3.17,0.1045,0,0,1213065000,0.7152,0,20349959287.04,0.2594,0.0168,0.0482,2.7615954905004
"29",2014,"TAP",4146300000,-0.0142,1.653e+09,2.78,-0.1032,1.48,0.1563,1287900000,0.1178,1.5933243065888,14784923074.64,0.2268,-0.1657,-0.1027,29.90293479794
"30",2014,"SYY",46516712000,0.0474,8181035000,1.59,-0.0536,1.14,0.0364,1492815000,-0.0196,3.6481011140764,24066742150.35,0.208,-0.0539,0.0365,5.34611942134253
"31",2014,"CHD",3297600000,0.0323,1452900000,1.53,0.0737,0.62,0.1071,540300000,0.0862,4.7324914886531,11206376620.05,0.2493,0.3527,0.0234,10.7926360116885
"32",2014,"BG",5.7161e+10,-0.0682,2.621e+09,3.2,1.0382,1.28,0.1228,1.399e+09,-0.5126,1.3886806738861,16694713450.36,0.2426,-0.4294,-0.1997,-23.4221097385873
