"","Revenue","EPS_Diluted","Free_Cash_Flow","priceEarningsToGrowthRatio","ebitperRevenue","niperEBT","netProfitMargin","returnOnAssets","eBITperRevenue","Return_on_Tangible_Assets","Book_Value_per_Share_Growth","Class"
"1",7.4401e+10,4.01,1.011e+10,15.557842259877,0.20433865136221,0.80329791637919,0.15648983212591,0.5765,0.20433865136221,0.5765,0.0316,"0"
"2",3734148046.4966,0.226,263041007.4265,2.6317931432127,0.050220557783091,0.77443805589144,0.036373151247506,0.0403,0.050220557783091,0.0403,0,"0"
"3",9.8375e+10,1.45,1.243e+09,0,0.027578144853875,0.66916299559471,0.015440914866582,0.1011,0.027578144853875,0.1011,0.3268,"1"
"4",25526413000,4.6,368176000,0,0.026435715821099,0.99678680190874,0.0097708205222567,0.0668,0.026435715821099,0.0668,0.1963,"1"
"5",17909600000,2.83,1884100000,15.254287363076,0.16807187206861,0.67378217675518,0.10186715504534,0.6265,0.16807187206861,0.6265,0.0274,"1"
"6",8.0106e+10,4.76,6.586e+09,13.892365702214,0.14533243452426,0.70755429650614,0.093538561406137,1.163,0.14533243452426,1.163,-0.6769,"1"
"7",4.5998e+10,1.6,8.432e+09,22.673397985348,0.21266142006174,0.76330788256802,0.15431105700248,0.4656,0.21266142006174,0.4656,-0.0763,"1"
"8",4.76294e+11,4.88,1.0869e+10,0,0.05555812166435,0.66406929995441,0.033638886905987,0.146,0.05555812166435,0.146,0.0309,"0"
"9",3.4244e+10,1.28,1.927e+09,25.778821025357,0.094177082116575,0.86085928261726,0.063777596075225,0.2885,0.094177082116575,0.2885,-0.1051,"1"
"10",2.4522e+10,2.56,4.5e+09,16.056304809588,0.34997145420439,0.65217391304348,0.20675311964766,4.2677,0.34997145420439,4.2677,-0.2593,"1"
"11",14299586932.0315,0.2854,5422305670.2967,7.1104010966734,0.40828733344188,0.85740578875933,0.31684777756186,0.9411,0.40828733344188,0.9411,-0.1292,"0"
